PhD,Postdoctoral,Master,Germany,Canada,Australia,USA,Switzerland
"🇺🇲 PhD Position,  University of Louisville, US

☑️ Transportation Engineering 

👨‍🏫 Dr. Robert Kluger:

Graduate Research Assistantships in Transportation Engineering at University of Louisville! (Expand for Details and link to apply)

The University of Louisville’s Civil & Environmental Engineering department is actively looking for highly motivated Ph.D. students to join our transportation engineering program. This research assistantship provides a stipend of $24,000/year + health benefits + tuition. It begins in Spring 2024.

Applicants should have BS degree in Civil Engineering with GPA>3.0. He or she should also have a master’s degree in civil engineering or a related field. Students should be motivated, have a willingness to learn, and a can-do attitude.

International applicants should have an English proficiency score to apply (TOEFL>79 IELTS > 6.5). Candidates with GRE Q+V>295 are preferred.

If you are interested, please fill out the following form: ",,,,"🇨🇦 PhD/MSc Positions, University of Toronto, Canada 

- Architecture
- Civil Engineering
- Urban Planning


👩‍🏫 Dr. Shoshanna Saxe

Funded PhD (and MASc) Position(s) for Fall 2024. Please share.  Come research how to build more with less. At the city, national and global scale we are facing challenges around how to build more housing and infrastructure with less total environmental footprint. We are researching from an urban form, building form, structural and material perspective.  Some examples here: ",,"🇺🇸 PhD Position, University of Central Florida, USA 

 • Computer Science
 • Mathematics
 • Artificial Intelligence
 • Data Science
 • Computer Vision
 • Machine Learning
 • Algorithms
 • Computational Mathematics

",
"🇧🇪 PhD Position, Gent University, Belgium

☑️ plant biotechnology, biochemistry, agriculture

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,"🇨🇦 PhD/Postdoctoral Positions, University of Guelph, Canada 

- Plant Biology/Science 
- Food Chemistry/Science 

⌛ Deadline for PhD: 31 January 2024

⏳ Deadline for Postdoctoral: 7 February 2024

Details:

",,"🇺🇸 PhD Position, Rutgers University, USA 

☑️ aerospace engineering, mechanical engineering, electrical engineering, applied mathematics, automation, space science, or closely related fields

",
"🇳🇱 PhD Position, University of Leiden, Netherlands

☑️ Privacy-Preserving Machine Learning

",,,,"🇨🇦 PhD Position, University of Waterloo, Canada 

- Cell Culture
- Microfabrication
- Polymer Science
- Surface Treatment/Coating Techniques

👨‍🏫 Dr. Nima Maftoon

I am recruiting one PhD student with ",,"🇺🇸 PhD Position, Texas A&M University, USA 

 • Gerontology
 • Biomechanics
 • Exercise Science
 • Physiology
 • Kinesiology
 • Rehabilitation Science
 • Biomedical Engineering
 • Data Science
 • Research Methodology
 • Clinical Research
 • Nonlinear Dynamics
 • Aging Studies
 • Health Sciences

",
"🇩🇪 PhD Position, University of Freiburg, Germany

☑️  Computer science, machine learning, or related fields

👩‍🏫 Dr. Noor Awad:

📢 Exciting news! Join our SmallData project funded by DFG. 

I am recruiting a PhD candidate to explore hyperparameter control for deep RL in small data settings. 🌟

Spread the word and apply today! 📣

👉",,,,"🇨🇦 PhD/MSc Positions, University of Toronto, Canada 

☑️ ",,"🇺🇸 PhD/MSc Position, University of South Carolina, USA 

- Civil Engineering
- Structural Engineering
- Environmental Engineering
- Mechanical Engineering
- Materials Engineering
- Non-Destructive Testing
- Signal Processing


👨‍🏫 Dr. ",
"🇧🇪 PhD Position,",,,,"🇨🇦 PhD/MSc Positions in Environmental Sciences (ESC) or Sustainable Design Engineering, University of Prince Edward Island, Canada 

- hydrology
- civil engineering
- environmental engineering
- computer science
- applied statistics and mathematics

Two Masters of Science (MSc) Positions in Environmental Sciences (ESC) or Sustainable Design Engineering
 • Pays 21,000 CAD per year - Full-time
 • Period of study: 2 years
 • A minimum of two graduate-level courses and one seminar are required. 
The successful candidate will contribute to research on drought, soil moisture monitoring, and environmental changes using imagery and datasets on Planet and Google Earth Engine platforms.

One Ph.D. Position in Environmental Sciences (ESC) or Sustainable Design Engineering
 • Pays 26,000 CAD per year - Full-time
 • Period of study: 4 years
 • A minimum of 4 graduate courses and one seminar are required. 
The successful candidate will develop a real-time (or near-real-time) tool that can identify the 500 farms on the PEI and the remote sensing data available and predict the timing and tuning of the pesticides, water management, and investment management. In-situ data from the Federation of Agriculture will be used for validation. MITACS and the PEI Federation of Agriculture will support this great opportunity.  

Location: The students will be hosted by the UPEI in Charlottetown Campus with some travel to the School of Climate Change and Adaptation in the St. Peter’s Bay area, accessible by free daily shuttles. Some occasional field trips might become necessary.   

Required Skills and Prerequisites:
- Excellent English writing skills, capable of learning and communicating ideas clearly 
- Background in hydrology, civil engineering, environmental engineering, computer science, or applied statistics and mathematics
- Ability to work both independently and collaboratively 
- Strong desire to study regional and global environmental change and modeling approaches 
- Strong computer programming skills in R or Python and desire to learn and expand computer skills in AI, LaTeX, Bash commands, and Linux.
- Publish in peer-reviewed journals.

Benefits:
 • New Mac or Lenovo/Linux laptop or desktop (student’s choice);
 • Opportunity to travel to at least one conference (AGU or EGU) as of the second year to present findings and results;
 • Additional entrance scholarship from the School of Climate Change and Adaptation or the Faculty of Sustainable Design Engineering;
 • Graduate students can apply to become Teaching Assistants (TAs); 
 • Regular group and one-to-one meetings to enhance students’ social and verbal scientific communication skills, to ensure progress, growth, and career planning.

To Apply: You must fulfill the entry requirements for Master’s or Ph.D. studies at the UPEI. 

Information about how to apply and deadline dates for Master’s studies is here: ",,"🇺🇸 Multiple Postdoctoral Positions in Biomaterials and Polymer Chemistry, Duke University, USA 

The Varghese Lab at Duke University has multiple postdoctoral positions and seeking creative, passionate, and highly motivated scientists. Our interdisciplinary research team works on model systems involving biomaterials, organoids, and in vivo injury models to gain new insights and develop translatable technologies. As a team member, you will collaborate with researchers and clinicians with diverse backgrounds and expertise. For more information about our lab visit our website (",
"🇮🇪 PhD Position, UCD, Ireland

☑️ Neuroscience, Pharmacology, Physiology or related biomedical science discipline

👨‍🏫 Dr. Derek Costello:

We are recruiting! We have a 4-year funded PhD position available in our lab at University College Dublin. If interested in research in Neuropharmacology/ Neuroinflammation/ Neurodegeneration, please follow the link for more info. ",,,,"🇨🇦 PhD/MSc Positions, University of Calgary, Canada 

- veterinary medicine 
- statistics
- computer science
- animal science
- animal biology
- other agricultural-related fields 

⏳ Deadline: 31 January 2024

Details:

",,"🇺🇸 PhD Position, Cornell University, USA 

 • Tri-I Computational Biology and Medicine
 • Physiology
 • Biophysics & Systems Biology
 • Biomedical Engineering
",
"🇺🇸 PhD Position, SLU, US

☑️ Robotics & Autonomous Systems 

👩‍🏫 Dr. Madi Babaiasl:


📢 Ph.D. Opportunities in Robotics & Autonomous Systems Field!

Dear LinkedIn Network,

I am thrilled to announce that my research lab at Saint Louis University is actively recruiting two talented and motivated Ph.D. students to help in pushing the boundaries of developing robotics and systems for healthcare and education purposes. If you are passionate about cutting-edge research, innovative solutions, and making a lasting impact, this could be the opportunity you've been waiting for! 

What I'm looking for - here are some essential skills and qualities:
- Being a team player, positive, creative, organized, and principle-centered person
- A solid foundation in robotics (robot kinematics, dynamics, control, and perception)
- Proficiency in at least one programming language (Python (preferred), C++, or MATLAB)
- Familiarity with Robot Operating System (ROS)
- Familiarity with machine learning techniques, computer vision, natural language processing, and AI algorithms for developing intelligent and adaptive robotic systems
- Experience with integrating various sensors (e.g., cameras, depth sensors, force sensors) into robotic systems and processing sensor data
- Knowledge of software development principles, software architecture, and version control systems
- Strong research background (showcased by publications), analytical thinking, and experiment design & data analysis skills
- Photography & videography skills are a plus

What you can expect:
-  Engage in cutting-edge research projects with real-world applications.
- Collaborate with leading experts and passionate researchers.
- Access to state-of-the-art facilities, resources, and a vibrant research community.
- Opportunities for conference presentations, publications, and networking with industry leaders.
- Full financial support for the duration of your Ph.D., including tuition fees and a stipend to cover living expenses.

What you should do:
Step 1 - Go to ",,,,"🇨🇦 Postdoctoral Position, Lakehead University, Canada 

☑️ Aerospace engineering 

👨‍🏫 Dr. Muhammad Saif Ullah Khalid

Dear all,
I am looking to hire a postdoctoral research fellow/research assistant for a project in close collaboration with TreeTrack and Mitacs. Please find the complete advertisement attached below and feel free to spread the word to your network. 
Thanks!

سفارش خدمات از طریق سایت:

🌐 ",,"🇺🇸 PhD Position, UC San Diego, USA 

 • Data Management
 • Machine Learning

👨‍🏫 Dr. Babak Salimi:

My lab at UC San Diego is expanding for Fall 2024, and we're looking for new Ph.D. students whose research interests align with ours at the intersection of Data Management and Machine Learning. Our focus is on pioneering advanced methodologies for data debiasing, cleaning, and curation to establish trust in data-driven decision-making.
We welcome diverse academic backgrounds and do not require top conference papers for consideration. The key to standing out? Thoughtfully complete the questionnaire on my website: ",
"🇩🇪 PhD Position, University of Wurzburg, Germany

☑️ Neuroscience

",,,,"🇨🇦 MSc Position, McGill University, Canada 

☑️ Digital health technologies in the treatment and management of patients with cardiovascular disease

- Bioengineering 
- Computer science 

سفارش خدمات از طریق سایت:

🌐 ",,"🇺🇸 PhD Position, Wayne State University, USA 

 • Neuroscience
 • Psychology
 • Cognitive Science
 • Pharmacology
 • Toxicology
 • Addiction Research
 • Developmental Psychobiology
 • Neuroendocrinology
 • Teratology

",
"🇨🇦 PhD/MSc Positions, University of Saskatchewan, Canada

☑️ Nutrition

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,"🇨🇦 PhD Position, University of British Columbia, Canada 

- Digital communications
- Wireless communications
- Information theory


",,"🇺🇸 PhD Position, Oregon State University, USA 

- Athletic Training (ATC)
- Clinical Background in Sports Medicine
- Kinesiology
- Exercise Science
- Physical Therapy

Details:

",
"🇺🇲 PhD Position, Southern Methodist University, US

☑️ Artificial Intelligence in power systems

👨‍🏫 Dr. Mohammad E Khodayar:

We are seeking an exceptional Ph.D. student with a strong background in Artificial Intelligence (AI) and its application to power systems. The ideal candidate should hold an MSc. degree in electrical engineering or computer science, with a solid foundation in machine learning, optimization, and power systems. As a member of our research team, you will have the opportunity to work on innovative projects that aim to revolutionize the power industry using AI techniques. Your research will focus on developing advanced algorithms and methodologies to tackle complex challenges in power system optimization, energy management, and grid resilience. This position offers a unique platform to collaborate with leading experts in the field, access state-of-the-art computation resources, and contribute to shaping the future of intelligent power systems. Join us as we embark on this exciting journey at the intersection of AI and power systems research. To apply, interested candidates are requested to send their CVs to ",,,,"🇨🇦 Postdoctoral Position, University of British Columbia, Canada 

☑️ Structural engineering; tall buildings; seismic design of precast concrete; disaster resilient buildings; reinforced concrete buildings

👩‍🏫 Dr. Lisa Tobber

There is still time to apply for Post-doctoral fellow position in our research group. 
",,"🇺🇸 PhD/MSc Position, University of Illinois at Urbana-Champaign, USA 

- Nonlinear Control
- Aerospace & Robotic Autonomy
- Learning for Control

",
"🇮🇪 PhD Position, UCD, Ireland

☑️ health sciences, environmental sciences, environmental engineering, biostatistics, geography, or other related field

👩‍🏫 Dr. Anna Mölter:

📢 We are offering a PhD scholarship on Public and Environmental Health in Sustainable Communities funded under the ",,,,,,"🇺🇸 PhD Position, University of Pennsylvania, USA 

- Machine Learning
- Data Systems

",
"🇮🇹 PhD/Postdoc Position, University of Napoli, Italy

☑️ Photonics

👨‍🏫 Dr. Filippo Cardano:

📣 ",,,,,,"🇺🇸 Request for Applicants: Graduate Research Assistant (GRA) Position, University of Nebraska-Lincoln, USA 

 • Soil Science
 • Environmental Science
 • Agronomy
 • Related Fields in Science


Co-Advisors:

Dr. Judith Turk, Pedologist, School or Natural Resources (SNR). University of Nebraska-Lincoln (UNL.)


Dr. Carolina Córdova, Soil Health Scientist, SNK and Department of Agronomy and Horticulture, UNL

Research Project Summary

Soil organic carbon (SOC) is an important indicator of soil health in both agriculture and natural ecosystem Despite extensive research on the relationship between SOC and soil color, practical applications of this knowledge have been limited, hindered by regional specificities and a lack of knowledge transfer from researchers to practitioners. We seek a dynamic and motivated Graduate Research Assistant (GRA) to join interdisciplinary team in addressing this critical issue. The methods used will include soil color data collec citizen scientists, laboratory analysis of soil organic carbon, collaboration with community members and ci scientists, and survey-based evaluations


Why Join Us?

In a few words, you will be part of the execution of impactful research, an interdisciplinary team, an inclus environment, with several opportunities for community engagement and professional growth.


Position Details

The GRA includes tuition and an annual stipend of $24,000 and will ideally start in January 2024


Oualifications

B.S. in soil science, environmental science, agronomy, or a closely related field. Applicants with experien science outreach and communication, work with citizen scientists, and collection and analysis of survey di preferred. A valid driver's license is required.


How to Apply

Send a statement of educational and career objectives, CV, unofficial transcripts, and contact information three references to Drs. Turk (",
"🇳🇱 PhD Position, UMCG, Netherlands

☑️ Genomic instability in Cancer

",,,,,,"🇺🇸 PhD Position, Lehigh University, USA 

- Electrical Engineering
- Power Systems Engineering
- Mechanical Engineering
- Civil Engineering

👨‍🏫 Dr. ",
"🇺🇸 PhD/MSc Positions, Baylor University, USA

☑️ Environmental science and Environmental health science

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD Position, Rutgers University, USA 

☑️ Neuroscience 

",
"🇵🇹 PhD Position, University of Porto, Portugal

☑️ Chemical Engineering

👨‍🏫 Dr. Ali Emami:

We have an open scholarship position for a candidate with a master's degree in chemical engineering (or related areas) to work on the fabrication, upscaling, and encapsulation of perovskite solar cells. 
The position is within an EU-funded project - Diamond, in collaboration with more than ten university and industry partners. 
Candidates must send their application until 17th July 2023, 23:59 GMT.
Candidates with degrees awarded outside of Portugal are required to present degree recognition by DGES (Direção-Geral do Ensino Superior) before starting date of the scholarship. 

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD Position, Duke University, USA 

- Engineering (Civil, Mechanical, Aerospace, Material)
- Applied Sciences (Mathematics, Physics, Computer Science)

We invite applications for multiple PhD openings in the Salahshoor Research Group at the Duke University. We are building a team of exceptional researchers who are driven by passion and curiosity and
are excited by fundamental questions about physics of solids, ranging from biological systems to man-made structures. Our lab operates at the intersection of mechanics, data science, material science and biology, and applied mathematics. Current areas of interest include:
﻿﻿Data-Driven methods in mechanics.
Computational mechanics of biological systems subject to various stimuli.
Mechanics of ultrasonic medicine.
﻿﻿Dynamies of complex material systems.

How we imagine you

You are motivated, passionate, curious, and creative. You are proactive, organized, focused, diligent, and enjoy working on complex problems. You are deeply enthusiastic about mechanics and mathematics, and you are an avid computer programmer. You have strong work ethics and a track record of excellence in your professional relationship with your former supervisor/mentor/colleagues.

What we expect from you

We expect you to have
﻿﻿Undergraduate degree in Engineering (Civil, Mechanical, Aerospace, Material) or Applied Sciences (Math-ematies, Physies, Computer Science).
﻿﻿Master's degree in any of the above majors is not required, but a great plus.
﻿﻿Prior relevant research activities.
Strong background in math, physics, solid mechanics, and computer programming.
﻿﻿Good communication skills.

What we offer

As a PhD student in our lab, you will Experience an excellent educational and research environment here at Duke.
﻿﻿Specialize in one of the cutting-edge areas at the intersection of the physics of solids, data science, and computational mathematics.
Contribute to the knowledge creation in the field through high-quality publications.
Build and hone the skills and training you need to embark on your professional career.
Become an integral part of a research group that is invested in your success.

How to proceed

After reviewing the research thrusts in our lab website at ",
"🇬🇧🇨🇵 PhD Position, Swansea University, UK and Université Grenoble Alpes, France

☑️ Mechanical Engineering in biomechanics combining experiments on human tissues and computational modelling

👨‍🏫 Dr. Mokarram Hossain:

",,,,,,"🇺🇸 PhD Position, University of Wisconsin Madison, USA 

- Microbiology
- Immunology
- Molecular Biology

",
"🇺🇲 PhD Position, University of Nevada Reno, US

☑️ Civil engineering, Geosciences, Geotechnical Engineering

👨‍🏫 Dr. Renmin Pretell:
(Incoming Assistant Professor at the University of Nevada Reno)

I am seeking a highly motivated candidate to join my ",,,,,,"🇺🇸 PhD Position, UC Santa Barbara, USA 

- Psychological & Brain Sciences
- Communication
- Neuroscience

The Media Neuroscience Lab is recruiting a PhD student in Psychological & Brain Sciences and a PhD student in Communication. Deadlines are Dec 1st (PBS) and Dec 15 (Comm). Check graddiv ",
"🇺🇲 PhD Position, University of Georgia, US

☑️ Neuroscience

👨‍🏫 Dr. Taotao Wu:

After an incredible journey, I am thrilled to share that I'll be leaving Penn to start my very own research lab at UGA soon. Seeking talented Ph.D. students to embark on an exciting new chapter of TBI and brain research!

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD Position, UC San Diego, USA 

- Machine Learning
- Artificial Intelligence
- Computer Science
- Statistics
- Mathematics
- Data Science
- Electrical Engineering
- Information Technology


👨‍🏫 Dr. ",
"🇺🇲 Postdoc/PhD Positions, Oregon State University, US

☑️ Chemical, Biological, and Environmental Engineering

👨‍🏫 Dr. Yuanzhe Liang:

Exciting news! Multiple Ph.D. Student and Postdoctoral Research Associate opportunities in the School of Chemical, Biological, and Environmental Engineering at Oregon State University. If you’re interested in learning more, please feel free to check out our group website (",,,,,,"🇺🇸 PhD Position, Florida State University, USA 

☑️ Transportation engineering 

👩‍🏫 Dr. Qianwen Quo:

I am seeking dedicated and enthusiastic Ph.D. candidates to collaborate on projects focusing on the use of Virtual Reality in Transportation, as well as studies on Transportation Resilience.

To learn more about my research program and potential projects, please visit my personal webpage ",
"🇺🇲 PhD Position, Purdue University, USA

☑️  Animal Science,  Feedlot Nutrition and Gut Health


👨‍🏫 Dr. Jon Schoonmaker:


Currently seeking a PhD student to participate in research related to beef feedlot nutrition and gut health with specific focus on dietary antimicrobials and the intestinal microbiome

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD Position, University of Wisconsin Milwaukee, USA 

 • Power Electronics Converters
 • Motor Drive
 • Electric Aircraft/Ships
 • Heavy-Duty Electric Vehicles
 • Energy Storage Systems
 • Renewable Energy Applications

👨‍🏫 Dr. Feng Guo

Hello everyone,

I am an incoming Assistant Professor at the University of Wisconsin-Milwaukee, we are looking forward to bringing passionate and talented candidates to join us for a green and sustainable world! 

There are multiple fully-funded PhD openings in my group for the 2024 Spring/Fall semester. My research interests include the design and control of high-efficiency, high-power-density power electronics converters, high-frequency magnetic components for electrified transportation (electric aircraft/ships and heavy-duty electric vehicles), energy storage systems, and renewable energy applications. If you are interested, please feel free to contact me: ",
"🇨🇦 PhD/MSc Positions, Western University, Canada

☑️ wastewater modeling, data analysis


👨‍🏫 Dr. Chris DeGroot:

I am currently recruiting a graduate student to work on the topic of wastewater-based epidemiology with a focus on modelling. Candidates must have a strong interest in wastewater modelling, data analysis, and demonstrated experience in development of object-oriented Python code. Please email applications to ",,,,,,"🇺🇸 PhD Position, University of Georgia, USA 

- Robotics
- Nonlinear control theory
- Machine learning
- Formal methods
- Robotic assistive devices

Detail:

",
"🇺🇸 PhD/MSc Positions, Kansas State University, USA 

☑️ controlled environment agriculture 

👩‍🏫 Dr. Teng Yang:

I have two funded MS or Ph.D. positions available for the Fall 2023 and Spring 2024 admission. I am looking for candidates with a strong background in controlled environment agriculture (CEA).
",,,,,,"🇺🇸 MSc Position, Mississippi State University, USA 

☑️ Mechanical, Electrical, Biosystems Engineering, or a related discipline

👨‍🏫 Dr. ",
"🇺🇸 PhD/MSc Positions, Mississippi State University, USA

☑️ Applied Nematology| Biological Control | Nematode Ecology

👩‍🏫 Dr. Chang Liu:

I’m excited to announce that I will join the Dept. of Biochemistry, Molecular Biology, Entomology & Plant Pathology 
msstate this Fall! My lab will study integrated nematode management and nematode ecology. I’ll be recruiting new graduate students, please stay tuned!

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD/Postdoctoral Position, University of Southern California, USA 

☑️ Environmental, Mechanical, or Chemical Engineering, Atmospheric or Earth sciences, Environmental Health, or related fields

",
"🇺🇸 PhD/MSc Positions, University of Southern Mississippi, US

☑️ mosquito taxonomy and ecology 

👨‍🏫 Dr. Don Yee:

🦟Happy to announce that I'm going to be recruiting a new student (M.S., Ph.D.) starting Jan. 2024 for a funded project in the Pacific. 
Applicants will need experience in mosquito taxonomy and ecology and have experience and interest in stakeholder outreach. Send CV to my email.

",,,,,,"🇺🇸 PhD Position, New York Institute of Technology, USA 

﻿- Radar-based (holographic) imaging
- ﻿Electromagnetic nondestructive testing (NDT)
techniques (Eddy current, magnetic flux leakage, inductive/capacitive sensing)
﻿- Water/Soil quality sensing
﻿- RF/microwave circuit design
﻿- Biomedical microwave imaging
- ﻿Wireless power transfer
﻿- Microwave/millimeter-wave security screening
﻿- Underground imaging
- ﻿Through-the-wall imaging
- ﻿RF/microwave component design
- ﻿FMCW radar

",
"🇭🇲 PhD Position, University of Queensland, Australia

☑️ Molecular biology

👨‍🏫 Dr. Seth Cheetham

Want to do a PhD in one of the hottest fields in molecular biology? We have a full-funded PhD project to develop next generation available in my group . Get in touch if you would like to apply. 

",,,,,,"🇺🇸 PhD/Faculty Positions, University of Virginia, USA 
 
☑ Data Science 
 
",
"🇺🇲 PhD Position, University of Virginia, US

☑️ Genetics

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,"🇺🇸 PhD/MSc Positions, University of Massachusetts Amherst, USA

☑️ Material Science and Engineering 

👩‍🏫 Dr. Jessica Schiffman

I'm recruiting Materials Science MS & PhD students interested in soft & living materials for Fall 2024. Apply by Jan 1st.
Learn more: ",
"🇺🇲 PhD Position, Missouri University of Science and Technology, US

☑️ Material Science, Mechanical engineering, or other relevant fields

👨‍🏫 Dr. Mohib Khan:

I am looking for a highly motivated Ph.D. students to join my research team in the Department of Material Science and Engineering at Missouri University of Science and Technology effective Fall 2023. These positions are supported by a monthly stipend, tuition, and fees towards a Ph.D. degree for up to four years, subject to satisfactory progress. My research group focuses on developing computational modeling tools and simulation of microstructural evolution/damage interactions in alloys/ceramics additive manufacturing as well as advanced manufacturing and materials characterization.
The ideal candidate should have a BSc or MSc degree in Material Science, Mechanical engineering, or other relevant fields, and a strong background in numerical simulation of material behavior. Advanced knowledge of FEM, CFD, CALPHAD and programming in MATLAB or Python is a big plus.
Please email your application to Dr. Arezoo Emdadi at ",,,,,,"🇺🇸 PhD Position, North Eastern University, USA 

- Electrical Engineering
- Physics
- Materials Science and Engineering
- Nanotechnology
- Applied Physics
- Photonics
- Microwave Engineering
- Superconductivity
- Nanofabrication Technology
- Quantum Engineering


👨‍🏫 Dr. ",
"🇩🇪 PhD Positions, Technische Universität Chemnitz, Germany

☑️ physics, chemistry, materials science, or a related field

👨‍🏫 Dr. Simon Kahmann:

I have two open PhD positions 🎓 in my lab starting from October 2023! One will be focusing on spectroscopy/microscopy & the other one on synthesis of perovskites and related compounds. More info here: ",,,,,,"🇺🇸 PhD Position, George Washington University, USA 

- Mechanical Engineering
- Aerospace Engineering
- Electrical and Computer Engineering
- Computer Science
- Mathematics
- Control Theory
- Optimization and Operations Research
- Statistical Machine Learning
- Robotics
- Computer Vision and Perception
- Reinforcement Learning

",
"🇩🇪 PhD Position, University of Marburg, Germany

Metabolomics
Mass Spectrometry
Molecular Biology
Oncology

👩‍🏫 Dr. Verena Taudte:

Job alert 🚨! I am looking for a PhD candidate to join our metabolomics group and combine mass-spectrometry-based metabolomics with molecular biological methods 🤩. If you are interested in oncological metabolomics, PM me. Official add will come shortly.

",,,,,,"🇺🇸 PhD Position, Texas Tech University, USA

☑️ Transportation (Pavement) Engineering

",
"🇺🇲 PhD/MSc Positions, Washington State University, US

Evolutionary Biology
Functional Morphology
Vertebrate Biology
Fish Biology

👩‍🏫 Dr. Katherine Corn:

Please share: I'm recruiting 1-2 M.S. or Ph.D. students for fall 2024 at WSUPullman! The Corn Lab studies evolution & functional morphology of vertebrates, particularly fishes.

More info: ",,,,,,"🇺🇸 PhD Position, NJIT, USA 
 
- Applied Mathematics 
- Control 
- Communication 
- Networks 
- Computer Science 
- Machine Learning 
 
",
"🇺🇲 PhD Position, University of Nebraska Lincoln, US

☑️ wireless communication, wireless networking, and wireless sensing

👨‍🏫 Dr. Hongzhi Guo:

I have one Ph.D. opening with full support in Computer Engineering/Computer Science for Spring 2024. We are looking for talented students in the broad areas of wireless communication, wireless networking, and wireless sensing. If you are interested or need more information, please contact me at ",,,,,,"🇺🇸 PhD Position, San Diego State University, USA 

☑️ Mechanical engineering 

👩‍🏫 Dr. Sara Adibi

PhD position opening!🎓
 A full-funded PhD position is available at San Diego State University in the department of mechanical engineering to explore ""data-driven and physics-based multi-scale material modeling."" A successful candidate will be enrolled in the Joint Doctoral Program at San Diego State University (SDSU) and the University of California at San Diego (UCSD) starting in the fall of 2024.
The deadline for applications is December 1, 2023. Detailed information about the required documents can be found at 
",
"🇩🇰 PhD Position, DTU, Denmark

☑️  Computer Science, Mechanical Engineering, or a related discipline. 

👩‍🏫 Dr. Maryamsadat Tahavori:

If you're ready for an exciting and intellectually stimulating adventure, where you can contribute to cutting-edge research and make a real impact in the District Heating industry, then I've got just the opportunity for you! We are hiring a PhD student to shape the future of district heating systems. If you are interested please apply.

",,,,,,"🇺🇸 Multiple Postdoctoral /PhD/MSc/Undergrad Positions, Cornell University, USA 

- Data Management
- Responsible Data Science
- Causal Inference
- Machine Learning

👨‍🏫 Dr. Sainyam Galhotra

I am looking to recruit postdocs and students of all levels (undergrads, masters, PhDs) to work in my lab.

Looking for people excited to work on projects in Data Management, Responsible Data Science, Causal Inference and Machine Learning. 

More Details ⬇️

Prospective interns and visiting researchers: Please fill the form here (",
"🇩🇰 PhD Position, Aalborg University, Denmark

☑️ Power Electrical Engineering

👨‍🏫 Dr. Pooya Davari:
(Associate Professor and Leader of EMI/EMC in Power Electronics Research Group)

If you are looking to gain experience and being part of an innovative and creative research environment here is a possibility to join as a ",,,,,,"🇺🇸 PhD Position, University of California Santa Barbara, USA 

☑️ Social Psychology 

👨‍🏫 Dr. Nils Karl Reimer:

",
"🇨🇦 PhD position, McGill University, Canada

☑️ molecular biology, microbiology, biotechnology, Food safety 

👨‍🏫 Dr. Saji George:

Position Description
We are seeking a highly motivated and hard-working PhD student with a strong interest in molecular and microbiology. The candidate should hold a master degree in molecular biology, microbiology, biochemistry, biotechnology or in a related field.
Qualifications:
• Master degree in molecular biology, microbiology, biotechnology a related discipline.
• Prior research experience in microbiology and molecular biology techniques. Knowledge and experience in bioinformatics, transformation, genetics, and tissue culture would be highly desirable.
• Must be self-motivated, with a keen interest in working on multidisciplinary, translationaluu projects.
• A strong research background with authorship in publications in related fields.
• Proficiency in English.
• Excellent communication, written and interpersonal skills.
Application details: 

The position is available immediately, but the starting date is negotiable. Apply by emailing to ",,,,,,"🇺🇸 PhD Position, UCLA, USA 

☑️ Robotics and Control 

👩‍🏫 Dr. ",
"🇺🇸 PhD/MSc Positions, University of Texas San Antonio, US

☑️  Industrial Engineering, Mathematics, Operations Research, Management Science, or a closely related discipline

👨‍🏫 Dr. Tanveer Hossain Bhuiyan:

There is an immediate opening for a fully-funded Ph.D. student position and a funded M.S. position in my lab in the discipline of Operations Research/Industrial & Systems Engineering at the University of Texas at San Antonio. These students will have the opportunity to work on a project funded by the U.S. Department of Energy. Please see the attached job description for details on the position requirements and application procedure. ",,,,,,"🇺🇸 PhD/MSc Positions, Oregon State University, USA 

- Agricultural Engineering
- Electrical Engineering
- Computer Engineering

The Department of Crop and Soil Science at Oregon State University (OSU) welcomes M.S.",
